COCO METRICS:
AP: 0.5645464073252126
AP50: 0.9757579333035319
AP75: 0.5704750257257595
APsmall: nan
APmedium: 0.5667585819640709
APlarge: 0.588404684506111
AR1: 0.6203333333333333
AR10: 0.6216666666666666
AR100: 0.6216666666666666
ARsmall: nan
ARmedium: 0.6230505050505051
ARlarge: 0.65461872909699

PASCAL METRIC (AP per class)
LeftA: 0.41050548831972977
LeftL: 0.50189898989899
LeftO: 0.3903035582303875
LeftOpenHand: 0.8517507331378299
LeftV: 0.17179526355996946
RClearC: 0.2654334554334554
RIndexDown: 0.6183333333333333
RIndexFront: 0.18522689075630253
RIndexLeft: 0.4494545454545454
RIndexRight: 0.02424242424242424
RIndexUp: 0.5382137161084531
RThumbBack: 0.024

PASCAL METRIC (mAP)
mAP: 0.3692631998729517
